plant_species,synonyms,family,native_introduced,color,fleshy_dry,dehiscent_indehiscent,number_s_per_f,number_s_per_f_uncertainty,number_s_per_f_lower_bound,number_s_per_f_upper_bound,number_s_per_f_sd_se,number_s_per_f_sample_size,s_length,s_length_uncertainty,s_length_lower_bound,s_length_upper_bound,s_length_sd_se,s_length_sample_size,s_width,s_width_uncertainty,s_width_lower_bound,s_width_upper_bound,s_width_sd_se,s_width_sample_size,s_mass,dry_wet_s,s_mass_uncertainty,s_mass_lower_bound,s_mass_upper_bound,s_mass_sd_se,s_mass_sample_size,f_length,f_length_uncertainty,f_length_lower_bound,f_length_upper_bound,f_length_sd_se,f_length_sample_size,f_width,f_width_uncertainty,f_width_lower_bound,f_width_upper_bound,f_width_sd_se,f_width_sample_size,f_mass,dry_wet_f,f_mass_uncertainty,f_mass_lower_bound,f_mass_upper_bound,f_mass_sd_se,f_mass_sample_size,citations
Annona duckei,,Annonaceae,,,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Annona haematantha,,Annonaceae,N,Yellow,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Anomospermum reticulatum,Cocculus reticulatus,Menispermaceae,N,Orange,F,I,NA,,NA,NA,NA,NA,31.4,None Specified,NA,NA,NA,405,22.5,None Specified,NA,NA,NA,405,6.98,D,None Specified,NA,NA,NA,405,18.975,SD,NA,NA,0.780491298,4,11.15,SD,NA,NA,1.268857754,4,NA,,,NA,NA,NA,NA,"Ramírez et al. 2013, Tobler 2008, http://legacy.tropicos.org/Image/101332957"
Anomospermum reticulatum,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,4.93,NA,None Specified,NA,NA,NA,1,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Ramírez et al. 2013, Tobler 2008, http://legacy.tropicos.org/Image/101332957"
Anthurium crassinervium,"Podospadix reticulata, Pothos crassinervius",Araceae,N,Red,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,6.533333333,SD,NA,NA,1.569500982,3,3.8,SD,NA,NA,0.346410162,3,NA,,,NA,NA,NA,NA,http://legacy.tropicos.org/Image/101169850?projectid=56
Anthurium harrisii,"Pothos harrisii, Podospadix harrisii, Anthurium assimile, Anthurium consanguineum, Anthurium longifolium, Anthurium scolopendroides, Anthurium undulatum, Pothos rubricaulis",Araceae,N,Green,F,I,2,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,Júnior 2021
Apeiba aspera,Apeiba glabra,Malvaceae,N,Brown,D,D,167,None Specified,NA,NA,NA,6,NA,Range,3,5,NA,100,2,None Specified,NA,NA,NA,6,0.02,W,None Specified,NA,NA,NA,0,56.75,SD,NA,NA,27.36503243,2,NA,Range,20,30,NA,0,10.6,D,None Specified,NA,NA,NA,6,"Marthews 2008, Stevenson 2007, Stevenson 2002, Sautu 2004, Zambrano 2006, Dorr 2012"
Apeiba aspera,,,,,,,NA,,NA,NA,NA,NA,1.883333333,SD,NA,NA,0.194079022,6,1.18,SD,NA,NA,0.083666003,5,0.0142,W,SD,NA,NA,0.0038,100,NA,Range,50,70,NA,0,51,SD,NA,NA,35.63818177,2,14.4,W,None Specified,NA,NA,NA,6,"Marthews 2008, Stevenson 2007, Stevenson 2002, Sautu 2004, Zambrano 2006, Dorr 2012"
Araucaria angustifolia,,Araucaria,N,Brown,D,I,150,None Specified,NA,NA,NA,0,49.3,SE,NA,NA,1.16,8,14.8,SE,NA,NA,0.7,8,6.7,NA,None Specified,NA,NA,NA,0,150,None Specified,NA,NA,NA,0,150,None Specified,NA,NA,NA,0,2300,NA,None Specified,NA,NA,NA,0,"Guimarães 2008, Peralta 2016, Shibata 2013, Lima 2007, Ferreira 1979, Mantovani 2004"
Araucaria angustifolia,,,,,,,93.9,SD,NA,NA,21,31,50,None Specified,NA,NA,NA,0,10,None Specified,NA,NA,NA,0,8.7,NA,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Range,610,4700,NA,0,"Guimarães 2008, Peralta 2016, Shibata 2013, Lima 2007, Ferreira 1979, Mantovani 2004"
Araucaria angustifolia,,,,,,,80.7,SD,NA,NA,25.2,90,NA,Range,30,80,NA,0,NA,Range,10,25,NA,0,6.58,NA,SD,NA,NA,1.4,560,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Guimarães 2008, Peralta 2016, Shibata 2013, Lima 2007, Ferreira 1979, Mantovani 2004"
Araucaria angustifolia,,,,,,,NA,,NA,NA,NA,NA,55.2,None Specified,NA,NA,NA,1,17.9,None Specified,NA,NA,NA,1,7,NA,SD,NA,NA,1.6,1800,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Guimarães 2008, Peralta 2016, Shibata 2013, Lima 2007, Ferreira 1979, Mantovani 2004"
Artocarpus heterophyllus,,Moraceae,Y,Yellow,F,I,NA,Range,100,500,NA,0,NA,Range,20,40,NA,0,NA,Range,10,20,NA,0,NA,NA,Range,2.5,14,NA,0,NA,Range,300,1000,NA,0,NA,Range,250,500,NA,0,NA,,,NA,NA,NA,NA,"Lazure 2010, https://books.google.com/books?hl=en&lr=&id=NwcKlmkud6UC&oi=fnd&pg=PR1&dq=%22Artocarpus+heterophyllus%22+AND+fruit&ots=nZN0RhVlgb&sig=dE2JCQ0ts3WXIhz0z6iCbnQKJVE#v=onepage&q=heterophyllus&f=false"
Artocarpus heterophyllus,,,,,,,NA,Range,20,50,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Lazure 2010, https://books.google.com/books?hl=en&lr=&id=NwcKlmkud6UC&oi=fnd&pg=PR1&dq=%22Artocarpus+heterophyllus%22+AND+fruit&ots=nZN0RhVlgb&sig=dE2JCQ0ts3WXIhz0z6iCbnQKJVE#v=onepage&q=heterophyllus&f=false"
Artocarpus heterophyllus,,,,,,,NA,Range,50,200,NA,0,31,SE,NA,NA,2,558,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,500,None Specified,NA,NA,NA,0,340,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,"Lazure 2010, https://books.google.com/books?hl=en&lr=&id=NwcKlmkud6UC&oi=fnd&pg=PR1&dq=%22Artocarpus+heterophyllus%22+AND+fruit&ots=nZN0RhVlgb&sig=dE2JCQ0ts3WXIhz0z6iCbnQKJVE#v=onepage&q=heterophyllus&f=false"
Astrocaryum aculeatissimum,,Arecaceae,Y,Brown,F,I,1,None Specified,NA,NA,NA,0,42.7,None Specified,NA,NA,NA,0,28.8,None Specified,NA,NA,NA,0,17.36,NA,None Specified,NA,NA,NA,0,47.9,None Specified,NA,NA,NA,0,32.2,None Specified,NA,NA,NA,0,28.7,NA,None Specified,NA,NA,NA,0,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009"
Astrocaryum aculeatissimum,,,,,,,1,None Specified,NA,NA,NA,0,42.7,None Specified,NA,NA,NA,0,28.8,None Specified,NA,NA,NA,0,13.252,W,SD,NA,NA,3.96,15,40,None Specified,NA,NA,NA,0,35,None Specified,NA,NA,NA,0,55.6,NA,None Specified,NA,NA,NA,0,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009"
Astrocaryum aculeatissimum,,,,,,,1,None Specified,NA,NA,NA,0,42.7,None Specified,NA,NA,NA,0,28.8,None Specified,NA,NA,NA,0,13.252,W,SD,NA,NA,3.96,15,NA,Range,50,60,NA,0,NA,Range,30,40,NA,0,55.6,NA,None Specified,NA,NA,NA,0,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009"
Astrocaryum aculeatissimum,,,,,,,1,None Specified,NA,NA,NA,12.5,42.7,None Specified,NA,NA,NA,0,28.8,None Specified,NA,NA,NA,0,13.252,W,SD,NA,NA,3.96,15,60,None Specified,NA,NA,NA,12.5,35,None Specified,NA,NA,NA,12.5,29.5,NA,None Specified,NA,NA,NA,12.5,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009"
Astrocaryum aculeatum,,Arecaceae,N,Yellow/Red,F,I,NA,,NA,NA,NA,NA,8.7,SD,NA,NA,0.7,3,6.233333333,SD,NA,NA,0.776745347,3,12.18,D,None Specified,NA,NA,NA,17,NA,Range,45,65,NA,0,NA,Range,35,45,NA,0,NA,NA,Range,70,90,NA,0,"Guimarães 2008, Kahn 2008, Hammond 1995, http://specimens.kew.org/herbarium/K000652769"
Astrocaryum aculeatum,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,17.72,W,None Specified,NA,NA,NA,17,NA,,NA,NA,NA,NA,NA,Range,40,60,NA,0,NA,,,NA,NA,NA,NA,"Guimarães 2008, Kahn 2008, Hammond 1995, http://specimens.kew.org/herbarium/K000652769"
Astrocaryum alatum,Hexopetion alatum,Arecaceae,N,Green/Brown,F,I,1,None Specified,NA,NA,NA,1,60,None Specified,NA,NA,NA,104,40,None Specified,NA,NA,NA,104,25.1,NA,SD,NA,NA,4.5,104,26,None Specified,NA,NA,NA,0,18,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,"Kissling 2019, Kuprewicz 2013, Loomis 1939"
Astrocaryum chambira,,Arecaceae,N,Yellow/Orange,F,I,1,None Specified,NA,NA,NA,6,52.5,None Specified,NA,NA,NA,5,35,None Specified,NA,NA,NA,6,116.936667,W,None Specified,NA,NA,NA,5,NA,Range,50,70,NA,0,NA,Range,40,50,NA,0,50.0666667,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Kissling 2019, Stevenson 2002, Ramírez 2018, Ramírez 2009, Jensen 1995"
Astrocaryum chambira,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,44.7,D,None Specified,NA,NA,NA,5,NA,Range,60,80,NA,0,NA,Range,45,50,NA,0,91.5666667,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Kissling 2019, Stevenson 2002, Ramírez 2018, Ramírez 2009, Jensen 1995"
Astrocaryum chambira,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,50,60,NA,0,NA,Range,40,45,NA,0,NA,,,NA,NA,NA,NA,"Stevenson 2023, Kissling 2019, Stevenson 2002, Ramírez 2018, Ramírez 2009, Jensen 1995"
Astrocaryum chambira,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,60,70,NA,0,47.5,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,"Stevenson 2023, Kissling 2019, Stevenson 2002, Ramírez 2018, Ramírez 2009, Jensen 1995"
Astrocaryum chambira,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,70,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Kissling 2019, Stevenson 2002, Ramírez 2018, Ramírez 2009, Jensen 1995"
Astrocaryum jauari,Astrocaryum guara,Arecaceae,N,Yellow/Orange,F,I,NA,,NA,NA,NA,NA,40,None Specified,NA,NA,NA,0,25,None Specified,NA,NA,NA,0,13.8,W,None Specified,NA,NA,NA,0,34.9,Unknown +/-,NA,NA,5,20,27.1,Unknown +/-,NA,NA,2,20,14.98,W,Unknown +/-,NA,NA,2.1,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,32.5,None Specified,NA,NA,NA,3,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,35.9,Unknown +/-,NA,NA,6,20,28.5,Unknown +/-,NA,NA,3,20,17.38,W,Unknown +/-,NA,NA,4.9,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,42.1,Unknown +/-,NA,NA,8,20,30.5,Unknown +/-,NA,NA,2,20,22.23,W,Unknown +/-,NA,NA,5.5,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,37.8,Unknown +/-,NA,NA,5,20,26.8,Unknown +/-,NA,NA,2,20,14.8,W,Unknown +/-,NA,NA,2.6,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,38.6,Unknown +/-,NA,NA,3,20,27.4,Unknown +/-,NA,NA,3,20,15.88,W,Unknown +/-,NA,NA,3.1,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,44.5,Unknown +/-,NA,NA,10,20,32.4,Unknown +/-,NA,NA,4,20,26.8,W,Unknown +/-,NA,NA,6.2,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,35.1,Unknown +/-,NA,NA,6,20,24.3,Unknown +/-,NA,NA,4,20,11.5,W,Unknown +/-,NA,NA,2.9,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,32.7,Unknown +/-,NA,NA,3,20,22.8,Unknown +/-,NA,NA,3,20,10.53,W,Unknown +/-,NA,NA,4.2,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,38,Unknown +/-,NA,NA,8,20,29.4,Unknown +/-,NA,NA,2,20,19.01,W,Unknown +/-,NA,NA,5.1,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,38,Unknown +/-,NA,NA,6,20,28.9,Unknown +/-,NA,NA,3,20,17.53,W,Unknown +/-,NA,NA,2.6,20,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum jauari,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,25.1,None Specified,NA,NA,NA,1,15.5,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Piedade 2006, Kahn 1992, Lucas 2008, Correa 2007, Costa 2023"
Astrocaryum murumuru,,Arecaceae,N,Yellow,F,I,NA,,NA,NA,NA,NA,NA,Range,27,48,NA,10,NA,Range,22,28,NA,10,7.4,NA,SE,5.4,8.9,1.08,11,NA,Range,60,85,NA,0,NA,Range,38,44,NA,0,NA,,,NA,NA,NA,NA,"Kissling 2019, Cintra 1997, Foster 1985"
Astrocaryum murumuru,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,11.9,W,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Kissling 2019, Cintra 1997, Foster 1985"
Astrocaryum paramaca,"Astrocaryum acanthopodium, Bactris paraensis",Arecaceae,N,Orange,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Range,4,6,NA,0,NA,Range,35,40,NA,0,NA,Range,20,25,NA,0,3.8,NA,None Specified,NA,NA,NA,0,"Forget unpublished, Brewer 1999, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/brazilian-flora-lorenzi-arecaceae-palms/oclc/648879292, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458 "
Astrocaryum paramaca,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Range,4,6,NA,0,40,None Specified,NA,NA,NA,0,NA,Range,20,25,NA,0,3.8,NA,None Specified,NA,NA,NA,0,"Forget unpublished, Brewer 1999, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/brazilian-flora-lorenzi-arecaceae-palms/oclc/648879292, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458 "
Astrocaryum standleyanum,Astrocaryum trachycarpum,Arecaceae,N,Orange,F,I,NA,Range,1,3,NA,0,20,None Specified,NA,NA,NA,0,15,None Specified,NA,NA,NA,0,15.1,NA,None Specified,NA,NA,NA,0,NA,Range,40,60,NA,0,NA,Range,27,35,NA,0,NA,,,NA,NA,NA,NA,"Hirsch 2012, Castro 2013, Dittel 2015, Kilgore 2010, Fadiman 2003, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, Forget unpublished, Jansen 2010"
Astrocaryum standleyanum,,,,,,,NA,Range,1,3,NA,0,20,None Specified,NA,NA,NA,0,15,None Specified,NA,NA,NA,0,15.1,NA,None Specified,NA,NA,NA,0,NA,Range,30,60,NA,0,NA,Range,20,30,NA,0,NA,,,NA,NA,NA,NA,"Hirsch 2012, Castro 2013, Dittel 2015, Kilgore 2010, Fadiman 2003, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, Forget unpublished, Jansen 2010"
Astrocaryum standleyanum,,,,,,,NA,Range,1,3,NA,0,20,None Specified,NA,NA,NA,0,15,None Specified,NA,NA,NA,0,15.1,NA,None Specified,NA,NA,NA,0,NA,Range,25,60,NA,0,NA,Range,30,45,NA,0,NA,,,NA,NA,NA,NA,"Hirsch 2012, Castro 2013, Dittel 2015, Kilgore 2010, Fadiman 2003, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, Forget unpublished, Jansen 2010"
Astrocaryum standleyanum,,,,,,,NA,Range,1,3,NA,0,20,None Specified,NA,NA,NA,0,15,None Specified,NA,NA,NA,0,15.1,NA,None Specified,NA,NA,NA,0,40,None Specified,NA,NA,NA,0,30,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,"Hirsch 2012, Castro 2013, Dittel 2015, Kilgore 2010, Fadiman 2003, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, Forget unpublished, Jansen 2010"
Astrocaryum standleyanum,,,,,,,NA,Range,1,3,NA,0,20,None Specified,NA,NA,NA,0,15,None Specified,NA,NA,NA,0,9.6,NA,None Specified,NA,NA,NA,0,50,None Specified,NA,NA,NA,0,35,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,"Hirsch 2012, Castro 2013, Dittel 2015, Kilgore 2010, Fadiman 2003, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, Forget unpublished, Jansen 2010"
Attalea butyracea,"Attalea blepharopus, Scheelea blepharopus, Attalea gomphococca, Scheelea gomphococca, Attalea humboldtiana, Scheelea humboldtiana, Attalea macrocarpa, Scheelea macrocarpa, Attalea pycnocarpa, Attalea wallisii, Scheelea wallisii, Cocos butyracea, Scheeelea butyracea, Scheelea dryanderae, Scheelea excelsa, Scheelea passargei, Scheelea regia",Arecaceae,N,Yellow/Orange,F,I,3,None Specified,NA,NA,NA,4,36.7,SD,NA,NA,0.989949494,2,9.7,SD,NA,NA,0,2,22.2,NA,None Specified,NA,NA,NA,0,NA,Range,45,120,NA,0,NA,Range,30,45,NA,0,73,NA,None Specified,NA,NA,NA,0,"Balick 1979, Moraes 2016, Dittel 2015, Gálvez 2007, Bernal 2010, Almeida 2007, Forget unpublished, Trujillo 2021, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, https://collections-botany.fieldmuseum.org/catalogue/1823365, https://books.google.com/books?hl=en&lr=&id=Uwm6MuLlnU0C&oi=fnd&pg=PA7&dq=+%C3%81rboles+tropicales+de+M%C3%A9xico+:+manual+para+la+identificaci%C3%B3n+de+las+principales+especies&ots=zpBEv7x_7A&sig=E1N8QPi3TZ2MKByKmx7M4Z6Js7Q#v=onepage&q=butyracea&f=false"
Attalea butyracea,,,,,,,NA,Range,1,2,NA,0,NA,Range,30,50,NA,0,NA,Range,5,12,NA,0,22.2,NA,None Specified,NA,NA,NA,0,NA,Range,50,60,NA,0,NA,Range,25,35,NA,0,73,NA,None Specified,NA,NA,NA,0,"Balick 1979, Moraes 2016, Dittel 2015, Gálvez 2007, Bernal 2010, Almeida 2007, Forget unpublished, Trujillo 2021, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, https://collections-botany.fieldmuseum.org/catalogue/1823365, https://books.google.com/books?hl=en&lr=&id=Uwm6MuLlnU0C&oi=fnd&pg=PA7&dq=+%C3%81rboles+tropicales+de+M%C3%A9xico+:+manual+para+la+identificaci%C3%B3n+de+las+principales+especies&ots=zpBEv7x_7A&sig=E1N8QPi3TZ2MKByKmx7M4Z6Js7Q#v=onepage&q=butyracea&f=false"
Attalea butyracea,,,,,,,NA,Range,1,3,NA,0,NA,Range,30,50,NA,0,NA,Range,5,12,NA,0,22.2,NA,None Specified,NA,NA,NA,0,NA,Range,45,85,NA,0,NA,Range,25,45,NA,0,73,NA,None Specified,NA,NA,NA,0,"Balick 1979, Moraes 2016, Dittel 2015, Gálvez 2007, Bernal 2010, Almeida 2007, Forget unpublished, Trujillo 2021, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, https://collections-botany.fieldmuseum.org/catalogue/1823365, https://books.google.com/books?hl=en&lr=&id=Uwm6MuLlnU0C&oi=fnd&pg=PA7&dq=+%C3%81rboles+tropicales+de+M%C3%A9xico+:+manual+para+la+identificaci%C3%B3n+de+las+principales+especies&ots=zpBEv7x_7A&sig=E1N8QPi3TZ2MKByKmx7M4Z6Js7Q#v=onepage&q=butyracea&f=false"
Attalea butyracea,,,,,,,NA,Range,1,4,NA,0,40,None Specified,NA,NA,NA,0,18,None Specified,NA,NA,NA,0,22.2,NA,None Specified,NA,NA,NA,0,NA,Range,45,85,NA,0,NA,Range,25,45,NA,0,73,NA,None Specified,NA,NA,NA,0,"Balick 1979, Moraes 2016, Dittel 2015, Gálvez 2007, Bernal 2010, Almeida 2007, Forget unpublished, Trujillo 2021, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, https://collections-botany.fieldmuseum.org/catalogue/1823365, https://books.google.com/books?hl=en&lr=&id=Uwm6MuLlnU0C&oi=fnd&pg=PA7&dq=+%C3%81rboles+tropicales+de+M%C3%A9xico+:+manual+para+la+identificaci%C3%B3n+de+las+principales+especies&ots=zpBEv7x_7A&sig=E1N8QPi3TZ2MKByKmx7M4Z6Js7Q#v=onepage&q=butyracea&f=false"
Attalea butyracea,,,,,,,NA,Range,1,4,NA,0,NA,Range,30,50,NA,0,NA,Range,5,12,NA,0,22.2,NA,None Specified,NA,NA,NA,0,60,None Specified,NA,NA,NA,0,30,None Specified,NA,NA,NA,0,73,NA,None Specified,NA,NA,NA,0,"Balick 1979, Moraes 2016, Dittel 2015, Gálvez 2007, Bernal 2010, Almeida 2007, Forget unpublished, Trujillo 2021, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458, https://www.scirp.org/(S(351jmbntvnsjt1aadkozje))/reference/referencespapers.aspx?referenceid=2437734, https://collections-botany.fieldmuseum.org/catalogue/1823365, https://books.google.com/books?hl=en&lr=&id=Uwm6MuLlnU0C&oi=fnd&pg=PA7&dq=+%C3%81rboles+tropicales+de+M%C3%A9xico+:+manual+para+la+identificaci%C3%B3n+de+las+principales+especies&ots=zpBEv7x_7A&sig=E1N8QPi3TZ2MKByKmx7M4Z6Js7Q#v=onepage&q=butyracea&f=false"
