Article ID,Full Citation
Giraldo 2007,"Giraldo, P., Gómez-Posada, C., Martínez, J., & Kattan, G. (2007). Resource use and seed dispersal by red howler monkeys (Alouatta seniculus) in a Colombian Andean forest. Neotropical Primates, 14(2), 55-64. doi:10.1896/044.014.0202"
Céspedes 2021,"Céspedes, G. R. (2021). Guía de frutos: especies para arborización y restauración ecológica del Área Metropolitana de Asunción. Asunción, Paraguay: Ministerio del Ambiente y Desarrollo Sostenible/Programa de las Naciones Unidas para el Desarrollo/Equipo de Proyecto “Asunción Ciudad Verde de las Améicas - Vías a la Sustentabilidad”."
Rezende 2014,"Rezende, A. R. d., Romero, R., & Goldenberg, R. (2014). Sinopse de Miconia secao Minconia DC (Melastomataaeae) no estado de Minas Gerais, Brasil. Uberlandia, 30(1), 273-287."
Gomes 2015,"Gomes, V. G. N., & Araujo, A. C. (2015). Cacti species from the Brazilian Chaco: floral and fruit traits. Gaia scientia (2015). Edição especial cactaceae., 9(2). Retrieved from https://www.researchgate.net/publication/276274599_Cacti_species_from_the_Brazilian_Chaco_floral_and_fruit_traits"
Gompper 1996,"Gompper, M. E. (1996). Sociality and asociality in white-nosed coatis {Nasua narica): foraging costs and benefits. Behavioral Ecology, 7(3), 254-263. doi:10.1093/beheco/7.3.254"
Gonçalves 2017,"Gonçalves, G. G. (2017). Entobotânica de plantas almentícias em comunidades indígenas multiétnicas do baixo rio uaupés - Amazonas. (Unpublished doctoral's dissertation). Universidade Estadual Paulista, Brazil."
Grafton 2004,"Grafton, B. W. (2004). Primates and seed shadows: mapping seed dispersal by red howler monkeys (Aluatta seniculus) using plant DNA fingerprinting. (Doctoral dissertation). Kent State University, Ann Arbor, Ml. ProQuest Information and Learning Company database."
Grayum 2009,"Grayum, M. H. (2009). Two new Trifoliolate-leaved species of Cucurbitaceae (Cucurbiteae) from Central and South America. Novon: A Journal for Botanical Nomenclature, 19(4), 465-474. doi:10.3417/2007164"
García-Ramis 1991,"García-Ramis, G. (1991). Sapucaia nuts - the genus Lecythis In Wanatca Yearbook 1991 (Vol. 16). Subiaco, WA: West Australian Nut and Tree Crops Association (Inc.)."
Guariguata 2000,"Guariguata, M. R. (2000). Seed and Seedling Ecology of Tree Species in Neotropical Secondary Forests: Management Implications. Ecological Applications, 10(1), 145-154. doi:10.1890/1051-0761(2000)010[0145:Saseot]2.0.Co;2"
Guimarães 2008,"Guimarães, P. R., Galetti, M., & Jordano, P. (2008). Seed dispersal anachronisms: rethinking the fruits extinct megafauna ate. PLoS One, 3(3), e1745. doi:10.1371/journal.pone.0001745"
Guix 2006,"Guix, J. C. (2006). Complex plant-disperser-pest interactions in NW Amazonia: beetle larvae and companions travelling inside Attalea maripa palm nuts. Orsis, 21, 83-90. Retrieved from https://ddd.uab.cat/pub/orsis/02134039v21/02134039v21p83.pdf"
Guzmán 2011,"Guzmán, A., & Stevenson, P. R. (2011). A new hypothesis for the importance of seed dispersal in time. Revista de Biología Tropical, 59(4), 1795-1803. Retrieved from https://www.researchgate.net/publication/51971703_A_new_hypothesis_for_the_importance_of_seed_dispersal_in_time"
Guzmán 2023,"Guzmán, M. N. N., Beltrán, L. C., Rodriguez, C. H., & Roa-Fuentes, L. L. (2023). Functional seed traits as predictors of germination and seedling growth for species with potential for restoration in Caquetá, Colombia. Trees, 37(3), 947-961. doi:10.1007/s00468-023-02396-3"
Hall 1994,"Hall, P., Orrell, L. C., & Bawa, K. S. (1994). Genetic diversity and mating system in a tropical tree, Carapa guianensis (Meliaceae). American Journal of Botany, 81(9), 1104-1111. doi:10.1002/j.1537-2197.1994.tb15604.x"
Hallwachs 1994,"Hallwachs, W. (1994). The clumsy dance between Agoutis and plants: scatterhording by Costa Rican dry forest Agoutis (Dasyprocta punctata: Dasyproctidae: Rodentia). (Doctoral dissertation). Cornell University, Ann Arbor, Michigan. Proquest database."
Hammel 1986,"Hammel, B. E. (1986). Moraceae. Selbyana, 9(1), 243-259. Retrieved from http://www.jstor.org/stable/41888810"
Hammond 1995,"Hammond, D. S., & Brown, V. K. (1995). Seed Size of Woody Plants in Relation to Disturbance, Dispersal, Soil Type in Wet Neotropical Forests. Ecology, 76(8), 2544-2561. doi:10.2307/2265827"
Hanson 2008,"Hanson, T. R., Brunsfeld, S. J., Finegan, B., & Waits, L. P. (2008). Pollen dispersal and genetic structure of the tropical tree Dipteryx panamensis in a fragmented Costa Rican landscape. Molecular Ecology, 17(8), 2060-2073. doi:10.1111/j.1365-294X.2008.03726.x"
Haq 2006,"Haq, N. (2006). Jackfruit Artocarpus heterophyllus. In J. T. Williams, R. W. Smith, & Z. Dunsiger (Eds.), Fruits for the future (pp. 4-11). Southampton, UK: Southampton Center for Underutilised Crops."
Hardy 2006,"Hardy, O. J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M. H., . . . Degen, B. (2006). Mestizo, Afro-Ecuadorian and Chachi Ethnobotany of Piquigua (Heteropsis ecuadorensis, Araceae) and Mocora (Astrocaryum standleyanum, Arecaceae) in Northwestern Ecuador. Molecular Ecology, 15(2), 559-571. doi:10.1111/j.1365-294X.2005.02785.x"
Harms 1997,"Harms, K. E., & Dalling, J. W. (1997). Damage and herbivory toerance through resprouting as an advantage of large seed sizes in tropical trees and lianas. Journal of Tropical Ecology(1), 617-621."
He 2020,"He, X., Luan, F., Yang, Y., Wang, Z., Zhao, Z., Fang, J., . . . Li, Y. (2020). Passiflora edulis: an insight into current researches on phytochemistry and pharmacology. Frontiers Pharmacology, 11, 617. doi:10.3389/fphar.2020.00617"
Heer 2015,"Heer, K., Kalko, E. K., Albrecht, L., Garcia-Villacorta, R., Staeps, F. C., Herre, E. A., & Dick, C. W. (2015). Spatial Scales of Genetic Structure in Free-Standing and Strangler Figs (Ficus, Moraceae) Inhabiting Neotropical Forests. PLoS One, 10(7), e0133581. doi:10.1371/journal.pone.0133581"
Heigl 2019,"Heigl, H. M. L., Kretschmann, J., Hilger, H. H., & Gottschling, M. (2019). Flower and fruit anatomy of Cordia nodosa Lam. and Varronia bonplandii Desv. (Cordiaceae, Boraginales) with phylogenetic implications. Organisms Diversity & Evolution (2020), 20(1), 9-24. doi:10.1007/s13127-019-00420-4"
Henderson 2002,"Henderson, A. (2002). Evolution and ecology of palms. Bronx, NY: New York Botanical Garden Press."
Henderson 1995,"Henderson, A., Galeano, G., & Bernal, R. (1995). Field guide to the palms of the Americas. Princeton, NJ: Princeton University Press."
Henry 2000,"Henry, O., Feer, F., & Sabatier, D. (2000). Diet of the lowland tapir (Tapirus terrestris L.) in French Guiana1. Biotropica, 32(2), 364-368. doi:10.1646/0006-3606(2000)032[0364:Dotltt]2.0.Co;2"
Junior 2021,"Junior, E. J. H., Hammes, J. K., Camelo, M. C., Coelho, M. A. N., & Temponi, L. G. (2021). Araceae from Serra do Brigadeiro State Park, Minas Gerais, Brazil. Phytotaxa, 497(3), 229-246. doi:10.11646/phytotaxa.497.3.3"
Herre 2023,"Herre, E. A., & West, S. A. (2023). Conflict of interest in a mutualism: documenting the elusive fig wasp-seed trade-off. Royal Society Publishing, 1501-1507. doi:10.1098/rspb.1997.0208"
Hiern 1873,"Hiern, W. P. (1873). A monograph of Ebenaceae. Cambridge, UK: Cambridge University Press."
Hirsch 2011,"Hirsch, B. T., Visser, M. D., Kays, R., & Jansen, P. A. (2011). Quantifying seed dispersal kernels from truncated seed‐tracking data. Methods in Ecology and Evolution, 3(3), 595-602. doi:10.1111/j.2041-210X.2011.00183.x"
Hitchcook 1931,"Hitchcock, A. S. (1931). Poales, Poaceae (pars), part 4. In North American Flora (Poales) (Vol. 17, pp. 289-354). New York, NY: The New York Botanical Garden."
Hitchcook 1910,"Hitchcook, A. S., & Chase, A. (1910). The North American species of Panicum. Washington DC: U.S. Government Printing Office."
Hogan 2018,"Hogan, J. A., Herault, B., Bachelot, B. G., Jounieaux, Marianne , & Christopher, B. (2018). Understanding the recruitment response of juvenile Neotropical trees to logging intensity using functional traits. Ecological Applications, 28(8), 1-13. doi:10.1002/eap.1776"
Holl 2002,"Holl, K. D. (2002). Effect of shrubs on tree seedling establishment in an abandoned tropical pasture. Journal of Ecology, 90(1), 179-187. Retrieved from https://www.jstor.org/stable/3072330"
Hopkins 1986,"Hopkins, H. C. F. (1986). Parkia (Leguminosae: Mimosoideae). Flora Neotropica, 43, 1-123. Retrieved from https://www.jstor.org/stable/4393790"
Howard 2001,"Howard, F. W., Moore, D., Giblin-Davis, R. M., & Abad, R. G. (2001). Insects on palms. New York, NY: CABI Publishing."
Howard 1943,"Howard, R. A. (1943). Studies of the Icacinaceae, III: A revision of Emmotum. Journal of the Arnold Arboretum, 23(4), 479-494. Retrieved from https://www.jstor.org/stable/43781057"
Howe 1980,"Howe, H. F. (1980). Monkey dispersal and waste of a neotropical fruit. Ecology, 61(4), 944-959. doi:10.2307/1936763"
Howe 1981,"Howe, H. F. (1981). Dispersal of a neotropical nutmeg (Virola sebifera) by birds. The Aux, 98(1), 88-98. doi:doi.org/10.1093/auk/98.1.88"
Howe 1983,"Howe, H. F. (1983). Annual variation in a neotropical seed-dispersal system. In T. C. W. S. L. Sutton, A. C. Chadwick (Ed.), Tropical Rainforest: Ecology and Management (pp. 211-222). Chicago: Blackwell Scientific."
Howe and Kerckhove 1981,"Howe, H. F., & Kerckhove, G. A. V. (1981). Removal of wild nutmeg (Virola Surinamensis) crops by birds. Ecology, 62(4), 1093-1106. doi:10.2307/1937007"
Hyun 2010,"Hyun, T. K., Eom, S. H., Yu, C. Y., & Roitsch, T. (2010). Hovenia dulcis--an Asian traditional herb. Planta Med, 76(10), 943-949. doi:10.1055/s-0030-1249776"
Ibarra-Manríquez 2010,"Ibarra-Manríquez, G., & Cornejo-Tenorio, G. (2010). Diversidad de frutos de los arboles del bosque tropical perennifolo de Mexico. Acta Botanica Mexicana, 90, 51-104. doi:10.21829/abm90.2010.299"
Ibarra-Manríquez 1992,"Ibarra-Manríquez, G., & Oyama, K. (1992). Ecological correlates of reproductive traits of Mexican rain forest trees. American Journal of Botany, 79(4). doi:10.1002/j.1537-2197.1992.tb14565.x"
Ionescu 2017,"Ionescu, N. (2017). Fruits variability of Cynodon dactylon (l.) Pers. Weed. Current Trends in Natural Sciences, 6(12), 46-53. Retrieved from http://www.natsci.upit.ro"
Venereo 2014,"Venereo, I. H., & Hermosillo, M. D. S. (2014). Small ruminant management and feeding with high quality forages in the Caribbean. 1-119."
Andel 1977,"Andel, J. v., & Vera, F. (1977). Reproductive allocation in Senecio sylvaticus and Chamaenerion angustifolium in relation to mineral nutrition. Journal of Ecology, 65, 747-758. doi:10.2307/2259377"
Dallign 1997,"Dalling, J. W., Swaine, M. D., & Garwood, N. C. (1997). Soil seed bank community dynamics in seasonally moist lowland tropical forest, Panama. Journal of Tropical Ecology, 13(5), 659-680. doi:10.1017/S0266467400010853"
Dalling 2002,"Dalling, J. W., & Hubbell, S. P. (2002). Seed size, growth rate and gap microsite conditions as determinants of recruitment success for pioneer species. Journal of Ecology, 90, 557–568."
Dalling 1998,"Dalling, J. W., Hubbell, S. P., & Silvera, K. (1998). Seed dispersal, seedling establishment and gap partitioning among tropical pioneer trees. Journal of Ecology (1998), 86, 674-689."
Jagtap 2010,"Jagtap, U. B., Panaskar, S. N., & Bapat, V. A. (2010). Evaluation of antioxidant capacity and phenol content in jackfruit (Artocarpus heterophyllus Lam.) fruit pulp. Plant Foods Hum Nutr, 65(2), 99-104. doi:10.1007/s11130-010-0155-7"
Jansen 2010,"Jansen, P. A., Elschot, K., Verkerk, P. J., & Wright, S. J. (2010). Seed predation and defleshing in the agouti-dispersed palmAstrocaryum standleyanum. Journal of Tropical Ecology, 26(5), 473-480. doi:10.1017/s0266467410000337"
Jansen-Jacobs 2009,"Jansen-Jacobs, M. J. (2009). Flora of Guianas. Richmond, Surrey, U.K.: Royal Botanic Garden, Kew."
Janzen 1979,"Janzen, D. H. (1979). How many babies do figs pay for babies? Biotropica, 11(1), 48-50. doi:10.2307/2388172"
Jardim 1999,"Jardim, A. (1999). A Revision of Roucheria Planch, and Hebepetalum Benth. (Hugoniaceae). (Master's thesis). University of Missouri-St. Louis, Saint Louis, MO. UMI Company database."
Jensen 1995,"Jensen, O. H., & Balslev, H. (1995). Ethnobotany of the fiber palm Astrocaryum chambira (Arecaceae) in Amazonian Ecuador. Economic Botany, 49(3), 309-319."
Jesus 2003,"Jesus, M. A. d. (2003). Efeito dos extratos obtidos de Swartzia argentea Spruce ex Benth., S. laevicarpa Amshoff, S. panacoco (Aublet) Cowan, S. polyphylla DC. e de S. sericea Vogel da Amazônia Central sobre fungos degradadores de madeira. (Unpublished doctoral dissertation). Universidade Estadual Paulista, São Paulo, Brasil."
Jiang 2016,"Jiang, S., Luo, J., Xu, F., & Zhang, X. (2016). Transcriptome analysis reveals candidate genes involved in gibberellin-induced fruit setting in triploid loquat (Eriobotrya japonica). Frontier Plant Science, 7, 1924. doi:10.3389/fpls.2016.01924"
Keeley 1984,"Keeley, J. E., Keeley, S. C., Swift, C. C., & Lee, J. (1984). Seed predation due to the Yucca-moth symbiosis. The American Midland Naturalist, 112(1), 187-191. doi:10.2307/2425472"
Jones 1966,"Jones, Q., & Earle, F. R. (1966). Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20(2), 127-155. doi:10.1007/BF02904010"
Jordano 1995,"Jordano, P. (1995). Angiosperm fleshy fruits and seed dispersers: a comparative analysis of adaptation and constraints in plant-animal interactions. The American Naturalist, 145(2), 163-191. Retrieved from https://www.jstor.org/stable/2463122"
Motta-Junior 2002,"Motta-Junior, J. C., & Martins, K. (2002). The frugivorous diet of the Maned Wolf, Chrysocyon brachyurus, in Brazil: ecology and conservation. In W. R. S. D. J. Levey, M. Galetti (Ed.), Seed Dispersal and Frugivory: Ecology, Evolution and Conservation (pp. 291-303). UK: CAB International."
Jose 2015,"Jose, D. A. S., Patricia, L. D. d. M., Francisco, I. d. S., & Maria, R. A. d. M. (2015). Physical-chemical characteristics and antioxidant potential of seed and pulp of Ximenia americana L. from the semiarid region of Brazil. African Journal of Biotechnology, 14(20), 1743-1752. doi:10.5897/ajb2015.14452"
Clark 1999,"Clark, R. D. Jr. (1999). The reporductive ecology of Vallisneria americana: the effect of seed pre-treatment and salinity of germination and the effects of salinity on seedling growth and survival. (Master's thesis). University of South Alabama, MI, USA. UMI database."
Bronstein 1987,"Bronstein, J. L., & Hoffmann, K. (1987). Spatial and temporal variation in frugivory at a neotropical fig, Ficus pertusa. Oikos, 49(3), 261-268. Retrieved from https://www.jstor.org/stable/3565760"
Julien-Laferriere 1999,"Julien-Laferriere, D. (1999). Fruit consumption, seed dispersal and seed fate in the vine Strychnos erichsonii in a French Guianan forest. Revue d’Écologie, 54(4), 315-326. Retrieved from https://hal.science/hal-03529149"
Jurrado 1991,"Jurado, E., Westoby, M., & Nelson, D. (1991). Diaspore weight, dispersal, growth form and perenniality of Central Australian plants. Journal of Ecology, 79(3), 811-828. Retrieved from https://www.jstor.org/stable/2260669"
Kahn 2008,"Kahn, F. (2008). The genus Astrocaryum (Arecaceae). Revista Peruana de Biologia, 15(1), 31-48. Retrieved from https://www.researchgate.net/publication/228694021_The_genus_Astrocaryum_Arecaceae#:~:text=Francis%20Kahn.%20Institute%20of%20Research%20for"
Kahn 1992,"Kahn, F., & Millán, B. (1992). Astrocaryum (Palmae) in Amazonia. A preliminary treatment. Bulletin de l’Institut français d’études andines, 21(2), 459-531. doi:10.3406/bifea.1992.1071"
Kattge 2011,"Kattge, J., DÍAz, S., Lavorel, S., Prentice, I. C., Leadley, P., BÖNisch, G., . . . Wirth, C. (2011). TRY – a global database of plant traits. Global Change Biology, 17(9), 2905-2935. doi:10.1111/j.1365-2486.2011.02451.x"
Kelly 1995,"Kelly, C. K. (1995). Seed size in tropical trees: a comparative study of factors affecting seed size in Peruvian angiosperms. Oecologia, 102, 377-388. doi:10.1007/BF00329805"
Kissling 2019,"Kissling, W. D., Balslev, H., Baker, W. J., Dransfield, J., Goldel, B., Lim, J. Y., . . . Svenning, J. C. (2019). PalmTraits 1.0, a species-level functional trait database of palms worldwide. Scientific Data, 6(1), 178. doi:10.1038/s41597-019-0189-0"
Klimas 2011,"Klimas, C. A., Kainer, K. A., Wadt, L. H., Staudhammer, C. L., Rigamonte-Azevedo, V., Correia, M. F., & da Silva Lima, L. M. (2011). Control of Carapa guianensis phenology and seed production at multiple scales: a five-year study exploring the influences of tree attributes, habitat heterogeneity and climate cues. Journal of Tropical Ecology, 28(1), 105-118. doi:10.1017/s0266467411000630"
Klinger 2013,"Klinger, R., & Rejmánek, M. (2013). Experimental seed predator removal reveals shifting importance of predation and dispersal limitation in early life history stages of ropical forest trees. Folia Geobotanica, 48(3), 415-435. doi:10.1007/s12224-013-9178-9"
Knogge and Heymann 2003,"Knogge, C., & Heymann, E. W. (2003). Seed dispersal by sympatric tamarins, Saguinus mystax and Saguinus fuscicollis: diversity and characteristics of plant species. Folia Primatol (Basel), 74(1), 33-47. doi:10.1159/000068392"
Knogge 2003,"Knogge, C., Tirado Herrera, E. R., & Heymann, E. W. (2003). Effects of passage through tamarin guts on the germination potential of dispersed seeds. International Journal of Primatology, 24(5), 1121-1128. doi:10.1023/A:1026236514523"
Knörr 2010,"Knörr, U. C. (2010). Fruit availability and dispersal processes in a highly fragmented landscape in the northeastern Brazilian Atlantic Forest region. (Unpublished doctoral's dissertation). Universität Ulm, Ulm, Germany."
Krukoff 1942,"Krukoff, B. A., & Monachino, J. (1942). Intermediae. Brittonia, 4(2), 295-305. doi:10.2307/2804717"
Kuprewicz 2013,"Kuprewicz, E. K. (2013). Mammal abundances and seed traits control the seed despersal and predation roles of terrestrial mammals in a Costa Rican Forest. Biotropics, 45(3), 333-342. doi:10.1111/btp.12014"
Landim 2002,"Landim, M. F., & Landrum, L. R. (2002). The genus Campomanesia (Myrtaceae) in Atlantic rainforest fragments in Sergipe, northeast region of Brazil. SIDA, 20(1), 205-214. Retrieved from https://www.jstor.org/stable/41968013#:~:text=Key%20words:%20Campomanesia,%20Myrtaceae,%20Sergipe,%20Atlantic"
Landrum 2017,"Landrum, L. R. (2017). The genus Psidium (Myrtaceae) in the state of Bahia, Brazil. Canotia, 13, 1-101. Retrieved from https://www.researchgate.net/publication/319230852_The_Genus_Psidium_Myrtaceae_in_the_State_of_Bahia_Brazil"
Lankoandé 2021,"Lankoandé, B., Ouattara, B., Bayen, P., & Ouédraogo, A. (2021). Assessing fruit production and harvesting effects on Carapa procera DC. population, a threatened oil tree in Burkina Faso, West Africa. Environmental Challenges, 4. doi:10.1016/j.envc.2021.100196"
Lapenta 2003,"Lapenta, M. J., De Oliveira, P. P., Kierluff, M. C. M., & Motta-Junior, J. C. (2003). Fruit exploitation by Golden Lion Tamarins (Leontopithecus rosalia) in the Uniäo Biological Reserve, Rio das Ostras, RJ - Brazil. Mammalia, 67(1), 41-46."
Laurindo 2020,"Laurindo, R. d. S., & Vizentin-Bugoni, J. (2020). Diversity of fruits in Artibeus lituratusdiet in urban and natural habitats in Brazil: a review. Journal of Tropical Ecology, 36(2), 65-71. doi:10.1017/s0266467419000373"
Lazure 2010,"Lazure, L., Bachand, M., Ansseasu, C., & Almeida-Cortez, J. (2010). Fate of native and introduced seeds consumed by captive white-lipped and collared peccaries (Tayassu pecari, Link 1795 and Pecari tajacu, Linnaeus 1758) in the Atlantic rainforest, Brazil. Brazilian Journal of Biology, 70(1), 47-53. doi:10.1590/S1519-69842010000100008"
Lee 2008,"Lee, J. (2008). Phenology and fate of palm fruits of two canopy palms: Welfia regia and Euterpe precatoria. (Unpublished Master's Thesis). Duke University, Durham, NC."
Lenz 2001,"Lenz, L. W. (2001). Seed dispersal in Yucca brevifolia (Agavaceae)-present and past, with consideration of the future of the species. Aliso: A Journal of Systematic and Floristic Botany, 20(2), 61-74. doi:10.1016/j.jaridenv.2011.12.012"
Lessa 2013,"Lessa, L. G., Geise, L., & Costa, F. N. (2013). Effects of gut passage on the germination of seeds ingested by didelphid marsupials in a neotropical savanna. Acta Botanica Brasilica, 27(3), 519-525."
Lescano 2018,"Lescano, C. H., de Oliveira, I. P., Freitas de Lima, F., Baldivia, D. d. S., Justi, P. N., Cardoso, C. A. L., . . . Sanjinez-Argandoña, E. J. (2018). Nutritional and chemical characterizations of fruits obtained from Syagrus romanzoffiana, Attalea dubia, Attalea phalerata and mauritia flexuosa. Journal of Food Measurement and Characterization, 12(2), 1284-1294. doi:10.1007/s11694-018-9742-3"
Lescano 2015,"Lescano, C. H., Oliveira, I. P., Silva, L. R., Baldivia, D. S., Sanjinez-Argandoña, E. J., Arruda, E. J., . . . Lima, F. F. (2015). Nutrients content, characterization and oil extraction from Acrocomia aculeata (Jacq.) Lodd. fruits. African Journal of Food Science, 9(3), 113-119. doi:10.5897/ajfs2014.1212"
Lima 2016,"Lima, L. R. d., Neto, A. R., Pereira, F. D., Silva, F. G., Menezes, C. C. E. d., & Santana, J. d. G. (2016). Germination and emergence of Mouriri elliptica mart., a rare medicinal fruit tree native to the Brazilian Cerrado biome. African Journal of Agricultural Research, 11(5), 400-406. doi:10.5897/ajar2015.10444"
Levin 1971,"Levin, G. A. (1971). Acalypha alopecuroidea. In Flora of North America: Magnoliophyta: Vitaceae to Garryaceae (Vol. 12, pp. 167). Oxford, UK: Oxford University Press."
Lewis 1988,"Lewis, G. P. (1988). Sesbania Adans. in the flora Zambesiaca region. Kirkia, 13(1), 11-51. Retrieved from https://www.jstor.org/stable/23502363"
Lidueña-Perez 2022,"Lidueña-Perez, K. I., Martelo-Solorzano, A. M., Payares-Diaz, I. R., Santos-Amaya, O. F., & Corredor-Prado, J. P. (2022). Ananas ananassoides (Baker) L.B.Sm. a bromeliad from the savanna: seed morpho-anatomy and histochemistry. Brazilian Journal of Biology, 84, e259454. doi:10.1590/1519-6984.259454"
Lim 2012,"Lim, T. K. (2012). Garcinia madruno. In Edible medicinal and non-medicinal plants (pp. 76-79). New York, NY: Springer."
Lima 2007,"Lima, E. C., Royer, B., Vaghetti, J. C., Brasil, J. L., Simon, N. M., Dos Santos, A. A., Jr., . . . Silva, E. A. (2007). Adsorption of Cu(II) on Araucaria angustifolia wastes: determination of the optimal conditions by statistic design of experiments. Journal of Hazard Material, 140(1-2), 211-220. doi:10.1016/j.jhazmat.2006.06.073"
Linares 2010,"Linares, E. L. (2010). Morfología de los frutiolos de Cecropia (Cecropiaceae) del Pacífico Columbiano y su valor taxonómico en el estudio de dietas de murciélagos. Botánica-Morfología, 32(2), 275-287. doi:10.15446/caldasia"
Link 2004,"Link, A., & Stevenson, P. R. (2004). Síndromes de dispersión en plantas dispersadas por animales en el Parque Nacional Tinigua, Colombia. Chilean Magazine of Natural History, 77, 319-334."
Linnebjerg 2009,"Linnebjerg, J. F., Hansen, D. M., & Olesen, J. M. (2009). Gut passage effect of the introduced red‐whiskered bulbul (Pycnonotus jocosus) on germination of invasive plant species in Mauritius. Austral Ecology, 34(3), 272-277. doi:10.1111/j.1442-9993.2008.01928.x"
Little 1964,"Little, E. L., & Wadsworth, F. H. (1964). Common trees of Puerto Rico and the Virgin Islands (Vol. 1). Washington DC: U.S. Department of Agriculture, Forest Service."
Liu 2016,"Liu, K., Wang, W., Guo, B. H., Gao, H., Liu, Y., Liu, X. H., . . . Cheng, K. (2016). Chemical evidence for potent xanthine oxidase inhibitory activity of ethyl acetate extract of Citrus aurantium L. dried immature fruits. Molecules, 21(3), 302. doi:10.3390/molecules21030302"
Loayza 2009,"Loayza, A. P. (2009). Closing the seed dispersal loop for Guettarda viburnoides (Rub.): connecting patterns of avian seed dispersal with population growth in a Neotropical savanna. (Unpublished doctoral dissertation). University of Missouri, Missouri, US."
Lobo 2015,"Lobo, J. A., Jimenez, D., Solis-Hernandez, W., & Fuchs, E. J. (2015). Lack of early inbreeding depression and distribution of selfing rates in the neotropical emergent tree Ceiba pentandra: assessment from several reproductive events. American Journal Botany, 102(6), 983-991. doi:10.3732/ajb.1400520"
Lobova 2003,"Lobova, T. A., Mori, S. A., Blanchard, F., Peckham, H., & Charles-Dominique, P. (2003). Cecropia as a food resource for bats in French Guiana and the significance of fruit structure in seed dispersal and longevity. American Journal of Botany, 90(3), 388-403. doi:10.3732/ajb.90.3.388"
Lonard 2017,"Lonard, R. I., Judd, F. W., Summy, K. R., DeYoe, H., & Stalter, R. (2017). The biological flora of coastal dunes and wetlands: Avic (L.). Journal of Coastal Research, 33(1), 191-207. doi:10.21 12 / JCOASTRES-D- 16-0001"
Londono 2007,"Londono, G. A., Munoz, M. C., & Rios, M. M. (2007). Density and natural history of the Sickle-winged guan (Chamaepetes goudotii) in the Central Andes, Colombia. The Wilson Journal of Ornithology, 119(2), 228-238. doi:10.1676/06-041.1"
Lopes 2023,"Lopes, I. T. (2023). Myristicaceae do Acre, Brasil. (Unpublished master's thesis). Instituto de Biociências da Universidade de São Paulo, San Paulo, Brazil."
Lopes 2014,"Lopes, J. d. C., & Mello-Silva, R. d. (2014). Annonaceae da Reserva Natural Vale, Linhares, Espírito Santo. Rodriguésia, 65(3), 599-635. doi:10.1590/2175-7860201465304"
Lopez 2004,"Lopez, J. E., & Vaughan, C. (2004). Observations on the role of frugivorous bats as seed dispersers in Costa Rican secondary humid forests. Acta Chiropterologica, 6(1), 111-119. doi:10.3161/001.006.0109"
Lorenzi 2010,"Lorenzi, H. (2010). Brazilian flora Lorenzi: Arecaceae (palms). Nova Odessa, Brazil: Instituto Plantarum de Estudos da Flora."
Loubry 1994,"Loubry, D. (1994). Incidence des insectes sur la chute prématurée des fruits de deux Caesalpiniaceae en forêt guyanaise: Dicorynia guianensis Amshoff et Vouacapoua americana Aublet. Acta Botanica Gallica, 141(3), 309-318. doi:10.1080/12538078.1994.10515164"
Lucas 2008,"Lucas, C. M. (2008). Within flood season variation in fruit consumption and seed dispersal by two Characin fishes of the Amazon. Biotropica, 40(5), 581-589. doi:10.1111/j.1744-7429.2008.00415.x"
Lucas 2012,"Lucas, C. M., Mekdeçe, F., Nascimento, C. M. N., Holanda, A.-S. S., Braga, J., Dias, S., . . . Suemitsu, C. (2012). Effects of short-term and prolonged saturation on seed germination of Amazonian floodplain forest species. Aquatic Botany, 99, 49-55. doi:10.1016/j.aquabot.2012.02.004"
Lücking 2001,"Lücking, R., & Matzer, M. (2001). High foliicolous lichen alpha-diversity on individual leaves in Costa Rica and Amazonian Ecuador. Biodiversity and Conservation, 10, 2139–2152. doi:10.1023/A:1013184623641"
Lughadha 2012,"Lughadha, E. M. N., Lucas, E. J., & Woodgyer, E. M. (2012). Additions to Myrcia s.l. from Eastern Brazil — taxonomic and nomenclatural novelties in Myrcia s.l. (Myrtaceae). Kew Bulletin, 67, 235-243. doi:10.1007/s12225-012-9350-z"
Luiz 2021,"Luiz, C. G. G., Fortuna, G. M., Henneberg, R., Bertazolli Filho, R., Montrucchio, D. P., Nascimento, E. d., . . . Ferreira, S. M. R. (2021). Avaliação da toxicidade aguda e subaguda do extrato de frutos de Jacaratia spinosa (Aubl.) A. DC em camundongos. Research, Society and Development, 10(7). doi:10.33448/rsd-v10i7.16366"
Luque 2019,"Luque, F. J., & Panilla, G. A. (2019). Juveniles of the overexploited Amazonian fish Colossoma macropomum (Characiformes: Serrasalmidae) as potential seed dispersers of Cecropia spp. International Journal of Tropical Biology, 67(2), 654-666. Retrieved from link.gale.com/apps/doc/A594318280/AONE?u=sunysb&sid=googleScholar&xid=58af32d4"
Maas 2001,"Maas, P. J. M., De Kamer, H. M.-v., Junikka, L., De Mello-Silva, R., & Raine, H. (2001). Annonnaceae from Central-eastern Brazil. Rodriguésia, 52(80), 65-98. doi:10.1590/2175-78602001528005"
